dataset,type,size,time,output
,Quick Sort,50,0,
,Insertion Sort,50,0,
,Quick Sort,100,0.001,
,Insertion Sort,100,0.001,
,Quick Sort,150,0,
,Insertion Sort,150,0.004,
,Quick Sort,200,0.001,
,Insertion Sort,200,0.006,
,Quick Sort,250,0,
,Insertion Sort,250,0.01,
,Quick Sort,300,0.001,
,Insertion Sort,300,0.014,
,Quick Sort,350,0.001,
,Insertion Sort,350,0.018,
,Quick Sort,400,0.001,
,Insertion Sort,400,0.024,
,Quick Sort,450,0.002,
,Insertion Sort,450,0.029,
,Quick Sort,500,0.002,
,Insertion Sort,500,0.031,
